date,d,item_id,sku_id,product_name,sales,sell_price
2021-01-29,1,FOODS_2_019,10060,해태포키블루베리41G,15,2.98
2021-01-30,2,FOODS_2_019,10060,해태포키블루베리41G,27,2.98
2021-01-31,3,FOODS_2_019,10060,해태포키블루베리41G,18,2.98
2021-02-01,4,FOODS_2_019,10060,해태포키블루베리41G,29,2.98
2021-02-02,5,FOODS_2_019,10060,해태포키블루베리41G,23,2.98
2021-02-03,6,FOODS_2_019,10060,해태포키블루베리41G,20,2.98
2021-02-04,7,FOODS_2_019,10060,해태포키블루베리41G,2,2.98
2021-02-05,8,FOODS_2_019,10060,해태포키블루베리41G,2,2.98
2021-02-06,9,FOODS_2_019,10060,해태포키블루베리41G,44,2.98
2021-02-07,10,FOODS_2_019,10060,해태포키블루베리41G,14,2.98
2021-02-08,11,FOODS_2_019,10060,해태포키블루베리41G,24,2.98
2021-02-09,12,FOODS_2_019,10060,해태포키블루베리41G,0,2.98
2021-02-10,13,FOODS_2_019,10060,해태포키블루베리41G,25,2.98
2021-02-11,14,FOODS_2_019,10060,해태포키블루베리41G,28,2.98
2021-02-12,15,FOODS_2_019,10060,해태포키블루베리41G,25,2.98
2021-02-13,16,FOODS_2_019,10060,해태포키블루베리41G,15,2.98
2021-02-14,17,FOODS_2_019,10060,해태포키블루베리41G,0,2.98
2021-02-15,18,FOODS_2_019,10060,해태포키블루베리41G,23,2.98
2021-02-16,19,FOODS_2_019,10060,해태포키블루베리41G,5,2.98
2021-02-17,20,FOODS_2_019,10060,해태포키블루베리41G,4,2.98
2021-02-18,21,FOODS_2_019,10060,해태포키블루베리41G,16,2.98
2021-02-19,22,FOODS_2_019,10060,해태포키블루베리41G,26,2.98
2021-02-20,23,FOODS_2_019,10060,해태포키블루베리41G,25,2.98
2021-02-21,24,FOODS_2_019,10060,해태포키블루베리41G,5,2.98
2021-02-22,25,FOODS_2_019,10060,해태포키블루베리41G,0,2.98
2021-02-23,26,FOODS_2_019,10060,해태포키블루베리41G,6,2.98
2021-02-24,27,FOODS_2_019,10060,해태포키블루베리41G,1,2.98
2021-02-25,28,FOODS_2_019,10060,해태포키블루베리41G,8,2.98
2021-02-26,29,FOODS_2_019,10060,해태포키블루베리41G,0,2.98
2021-02-27,30,FOODS_2_019,10060,해태포키블루베리41G,19,2.98
2021-02-28,31,FOODS_2_019,10060,해태포키블루베리41G,6,2.98
2021-03-01,32,FOODS_2_019,10060,해태포키블루베리41G,8,2.98
