image_id,sku_id,image_path,filename,height,angle
IMG00000001,10060,10060_해태포키블루베리41G/10060_0_s_1.jpg,10060_0_s_1.jpg,0,1
IMG00000002,10060,10060_해태포키블루베리41G/10060_0_s_10.jpg,10060_0_s_10.jpg,0,10
IMG00000003,10060,10060_해태포키블루베리41G/10060_0_s_24.jpg,10060_0_s_24.jpg,0,24
IMG00000004,10060,10060_해태포키블루베리41G/10060_30_s_11.jpg,10060_30_s_11.jpg,30,11
IMG00000005,10060,10060_해태포키블루베리41G/10060_30_s_23.jpg,10060_30_s_23.jpg,30,23
IMG00000006,10060,10060_해태포키블루베리41G/10060_30_s_3.jpg,10060_30_s_3.jpg,30,3
IMG00000007,10060,10060_해태포키블루베리41G/10060_60_s_22.jpg,10060_60_s_22.jpg,60,22
IMG00000008,10060,10060_해태포키블루베리41G/10060_60_s_7.jpg,10060_60_s_7.jpg,60,7
IMG00000009,10091,10091_꼬깔콘고소한맛72G/10091_0_s_17.jpg,10091_0_s_17.jpg,0,17
IMG00000010,10091,10091_꼬깔콘고소한맛72G/10091_0_s_21.jpg,10091_0_s_21.jpg,0,21
IMG00000011,10091,10091_꼬깔콘고소한맛72G/10091_0_s_5.jpg,10091_0_s_5.jpg,0,5
IMG00000012,10091,10091_꼬깔콘고소한맛72G/10091_30_s_1.jpg,10091_30_s_1.jpg,30,1
IMG00000013,10091,10091_꼬깔콘고소한맛72G/10091_30_s_23.jpg,10091_30_s_23.jpg,30,23
IMG00000014,10091,10091_꼬깔콘고소한맛72G/10091_30_s_9.jpg,10091_30_s_9.jpg,30,9
IMG00000015,10091,10091_꼬깔콘고소한맛72G/10091_60_s_11.jpg,10091_60_s_11.jpg,60,11
IMG00000016,10091,10091_꼬깔콘고소한맛72G/10091_60_s_17.jpg,10091_60_s_17.jpg,60,17
IMG00000017,10091,10091_꼬깔콘고소한맛72G/10091_60_s_18.jpg,10091_60_s_18.jpg,60,18
IMG00000018,10092,10092_농심오징어집83G/10092_0_s_1.jpg,10092_0_s_1.jpg,0,1
IMG00000019,10092,10092_농심오징어집83G/10092_0_s_10.jpg,10092_0_s_10.jpg,0,10
IMG00000020,10092,10092_농심오징어집83G/10092_0_s_21.jpg,10092_0_s_21.jpg,0,21
IMG00000021,10092,10092_농심오징어집83G/10092_30_s_14.jpg,10092_30_s_14.jpg,30,14
IMG00000022,10092,10092_농심오징어집83G/10092_30_s_22.jpg,10092_30_s_22.jpg,30,22
IMG00000023,10092,10092_농심오징어집83G/10092_30_s_4.jpg,10092_30_s_4.jpg,30,4
IMG00000024,10092,10092_농심오징어집83G/10092_60_s_10.jpg,10092_60_s_10.jpg,60,10
IMG00000025,10092,10092_농심오징어집83G/10092_60_s_13.jpg,10092_60_s_13.jpg,60,13
IMG00000026,10092,10092_농심오징어집83G/10092_60_s_14.jpg,10092_60_s_14.jpg,60,14
IMG00000027,10092,10092_농심오징어집83G/10092_60_s_24.jpg,10092_60_s_24.jpg,60,24
IMG00000028,10093,10093_농심매운새우깡90G/10093_0_s_13.jpg,10093_0_s_13.jpg,0,13
IMG00000029,10093,10093_농심매운새우깡90G/10093_0_s_2.jpg,10093_0_s_2.jpg,0,2
IMG00000030,10093,10093_농심매운새우깡90G/10093_0_s_24.jpg,10093_0_s_24.jpg,0,24
IMG00000031,10093,10093_농심매운새우깡90G/10093_30_s_1.jpg,10093_30_s_1.jpg,30,1
IMG00000032,10093,10093_농심매운새우깡90G/10093_30_s_10.jpg,10093_30_s_10.jpg,30,10
IMG00000033,10093,10093_농심매운새우깡90G/10093_30_s_19.jpg,10093_30_s_19.jpg,30,19
IMG00000034,10093,10093_농심매운새우깡90G/10093_60_s_17.jpg,10093_60_s_17.jpg,60,17
IMG00000035,10093,10093_농심매운새우깡90G/10093_60_s_18.jpg,10093_60_s_18.jpg,60,18
IMG00000036,10093,10093_농심매운새우깡90G/10093_60_s_7.jpg,10093_60_s_7.jpg,60,7
IMG00000037,10094,10094_크라운)콘초66G/10094_0_s_1.jpg,10094_0_s_1.jpg,0,1
IMG00000038,10094,10094_크라운)콘초66G/10094_0_s_12.jpg,10094_0_s_12.jpg,0,12
IMG00000039,10094,10094_크라운)콘초66G/10094_0_s_23.jpg,10094_0_s_23.jpg,0,23
IMG00000040,10094,10094_크라운)콘초66G/10094_30_s_15.jpg,10094_30_s_15.jpg,30,15
IMG00000041,10094,10094_크라운)콘초66G/10094_30_s_24.jpg,10094_30_s_24.jpg,30,24
IMG00000042,10094,10094_크라운)콘초66G/10094_30_s_8.jpg,10094_30_s_8.jpg,30,8
IMG00000043,10094,10094_크라운)콘초66G/10094_60_s_1.jpg,10094_60_s_1.jpg,60,1
IMG00000044,10094,10094_크라운)콘초66G/10094_60_s_15.jpg,10094_60_s_15.jpg,60,15
IMG00000045,10094,10094_크라운)콘초66G/10094_60_s_24.jpg,10094_60_s_24.jpg,60,24
IMG00000046,10095,10095_농심바나나킥75G/10095_0_s_15.jpg,10095_0_s_15.jpg,0,15
IMG00000047,10095,10095_농심바나나킥75G/10095_0_s_23.jpg,10095_0_s_23.jpg,0,23
IMG00000048,10095,10095_농심바나나킥75G/10095_0_s_6.jpg,10095_0_s_6.jpg,0,6
IMG00000049,10095,10095_농심바나나킥75G/10095_30_s_20.jpg,10095_30_s_20.jpg,30,20
IMG00000050,10095,10095_농심바나나킥75G/10095_30_s_24.jpg,10095_30_s_24.jpg,30,24
IMG00000051,10095,10095_농심바나나킥75G/10095_30_s_8.jpg,10095_30_s_8.jpg,30,8
IMG00000052,10095,10095_농심바나나킥75G/10095_60_s_1.jpg,10095_60_s_1.jpg,60,1
IMG00000053,10095,10095_농심바나나킥75G/10095_60_s_24.jpg,10095_60_s_24.jpg,60,24
IMG00000054,10095,10095_농심바나나킥75G/10095_60_s_9.jpg,10095_60_s_9.jpg,60,9
IMG00000055,10100,10100_롯데)자일리톨베타비타D용기86G/10100_0_s_1.jpg,10100_0_s_1.jpg,0,1
IMG00000056,10100,10100_롯데)자일리톨베타비타D용기86G/10100_0_s_11.jpg,10100_0_s_11.jpg,0,11
IMG00000057,10100,10100_롯데)자일리톨베타비타D용기86G/10100_0_s_24.jpg,10100_0_s_24.jpg,0,24
IMG00000058,10100,10100_롯데)자일리톨베타비타D용기86G/10100_30_s_15.jpg,10100_30_s_15.jpg,30,15
IMG00000059,10100,10100_롯데)자일리톨베타비타D용기86G/10100_30_s_23.jpg,10100_30_s_23.jpg,30,23
IMG00000060,10100,10100_롯데)자일리톨베타비타D용기86G/10100_30_s_5.jpg,10100_30_s_5.jpg,30,5
IMG00000061,10100,10100_롯데)자일리톨베타비타D용기86G/10100_60_s_12.jpg,10100_60_s_12.jpg,60,12
IMG00000062,10100,10100_롯데)자일리톨베타비타D용기86G/10100_60_s_13.jpg,10100_60_s_13.jpg,60,13
IMG00000063,10100,10100_롯데)자일리톨베타비타D용기86G/10100_60_s_24.jpg,10100_60_s_24.jpg,60,24
IMG00000064,35035,35035_팔도왕뚜껑110G/35035_00_s_12.jpg,35035_00_s_12.jpg,0,12
IMG00000065,35035,35035_팔도왕뚜껑110G/35035_00_s_20.jpg,35035_00_s_20.jpg,0,20
IMG00000066,35035,35035_팔도왕뚜껑110G/35035_60_s_11.jpg,35035_60_s_11.jpg,60,11
